"","Job.Family","Department.Code","Salaries","Year","Overtime","Union","Total.Benefits","Retirement","Total.Compensation"
"259","Construction Inspection","DBI",118087.02,2018,0,"Building Inspects - 6331/33",48536.48,23223.92,172527.84
"260","Legal & Court","DAT",71773.26,2018,0,"SEIU, Local 1021, Misc",32970.11,13787.81,104743.37
"261","Legal & Court","DAT",129756,2018,0,"Municipal Attorneys Assoc",50199.39,24312.16,179955.39
"262","Untitled","CRT",74668.27,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",37478.02,14413.67,112146.29
"263","Construction Inspection","DBI",118303.04,2018,0,"Building Inspects - 6331/33",48899.94,23158.67,169436.56
"264","Clerical, Secretarial & Steno","DBI",1710,2018,0,"Prof & Tech Eng, Local 21",5553.18,329.18,7668.02
"265","Legal & Court","DAT",126219.01,2018,0,"Municipal Attorneys Assoc",34096.22,23644.28,160315.23
"266","Untitled","CRT",114827.99,2018,0,"Court-Local 21 Professional",47999.31,21528.56,162827.3
"267","Untitled","CRT",87490.64,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",41240.12,16925.98,129353.86
"268","Untitled","CRT",106503.8,2018,0,"Court-Court Reporters",47897.45,21583.97,160258.83
"269","Untitled","CRT",68319.68,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",36097.24,13316.37,105416.92
"270","Untitled","CRT",55273.23,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",33859.1,12464.52,89132.33
"271","Construction Inspection","DBI",22238.81,2018,0,"SEIU, Local 1021, Misc",11324.97,4312.76,33606.19
"272","Legal & Court","DAT",137488.84,2018,0,"Municipal Attorneys Assoc",52220.06,25758.94,189708.9
"273","Untitled","CRT",78027.58,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",38240.84,14989.5,116268.42
"274","Legal & Court","DAT",130512.4,2018,0,"Municipal Attorneys Assoc",50474.84,24448.91,180987.24
"275","Untitled","CRT",9463.59,2018,0,"Court-Judge",246.86,0,17271.83
"276","Untitled","CRT",73895.61,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",37433.48,14315.14,112250.09
"277","Untitled","CRT",103268.08,2018,0,"Court-Local 21 Professional",47865.66,21193.92,158197.04
"278","Untitled","CRT",100271.22,2018,0,"Court-MEA",56494.73,19265.94,156765.95
"279","Construction Inspection","DBI",122816.02,2018,4610.79,"Building Inspects - 6331/33",49851.42,23005.67,184017.07
"280","Construction Inspection","DBI",122816,2018,15428.37,"Building Inspects - 6331/33",50032.58,23005.65,188276.95
"281","Legal & Court","DAT",171592.55,2018,0,"Municipal Attorneys Assoc",53962.15,32125.64,236143.48
"282","Legal & Court","DAT",118573.8,2018,0,"Municipal Attorneys Assoc",47821.21,22761.13,166395.01
"283","Untitled","CRT",73895.6,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",37527.2,14314.69,112046.8
"284","Untitled","CRT",87616.03,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",41299.03,16950.27,129539.06
"285","Untitled","CRT",73895.57,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",37809.36,14514.47,113368.93
"286","Untitled","CRT",72728.67,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",36972.99,13971.03,109701.66
"287","Public Safety Inspection","DBI",125352.22,2018,16767.89,"Electrical Workers, Local 6",51789.33,24346.9,198739.15
"288","Construction Inspection","DBI",61187.04,2018,0,"SEIU, Local 1021, Misc",29697.83,11810.29,90884.87
"289","Legal & Court","DAT",52799.01,2018,0,"SEIU, Local 1021, Misc",26558.87,8118.3,79777.88
"290","Legal & Court","DAT",134405,2018,0,"SFDA Investigators Assn",30678.21,26717.34,173147.51
"291","Untitled","CRT",73895.59,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",37527.19,14314.68,112046.78
"292","Untitled","CRT",87616.01,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",41136.65,16950.26,129376.66
"293","Untitled","CRT",145910.65,2018,0,"SF Courts Commissioner Assoc",74797.93,40683.57,253282.54
"294","Construction Inspection","DBI",58327.75,2018,2174.3,"SEIU, Local 1021, Misc",26579.28,11299.56,87641.33
"295","Legal & Court","DAT",51363,2018,0,"SEIU, Local 1021, Misc",21181.03,9887.41,72544.03
"296","Untitled","CRT",4901.58,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",5710.29,955.45,10684.78
"297","Untitled","CSC",1196,2018,0,"Member, Board Or Commission",88.08,0,1284.08
"298","Payroll, Billing & Accounting","DBI",73212.06,2018,0,"SEIU, Local 1021, Misc",34334.65,14167.1,108074.71
"299","Untitled","DBI",250,2018,0,"Member, Board Or Commission",19.7,0,269.7
"300","Management","CSS",130804.32,2018,0,"Municipal Exec Assoc, Misc",53383.15,24502.56,184187.47
"301","Legal & Court","CSS",77995.11,2018,0,"SEIU, Local 1021, Misc",34510.59,15091.23,113076.59
"302","Legal & Court","DAT",202359,2018,0,"Municipal Attorneys Assoc",65546.99,37906.16,267905.99
"303","Professional Engineering","CPC",69666.64,2018,0,"Prof & Tech Eng, Local 21",33193.05,13384.47,102859.69
"304","Untitled","CRT",87616,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",41299.01,16950.25,129539.01
"305","Untitled","CRT",2356.8,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",1370.25,433.14,6380.29
"306","Legal & Court","CSS",85262.06,2018,0,"SEIU, Local 1021, Misc",37824.52,16500.37,123710.58
"307","Legal & Court","CSS",101624.07,2018,0,"SEIU, Local 1021, Misc",42271.45,19643.68,144519.52
"308","Legal & Court","CSS",79934.39,2018,0,"SEIU, Local 1021, Misc",35381.96,15662.83,116911.37
"309","Legal & Court","DAT",217292.02,2018,0,"Municipal Attorneys Assoc",68591.04,40806.38,286431.45
"310","Professional Engineering","CPC",82670.69,2018,0,"Prof & Tech Eng, Local 21",40318.68,15883.51,122989.37
"311","Public Service Aide","CPC",23713.84,2018,0,"SEIU, Local 1021, Misc",1893.93,0,25607.77
"312","Untitled","CRT",53094.91,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",26938.74,10282.38,80481.72
"313","Clerical, Secretarial & Steno","CSS",61317,2018,0,"SEIU, Local 1021, Misc",31186.59,11899.96,93127.59
"314","Legal & Court","CSS",85262.02,2018,0,"SEIU, Local 1021, Misc",38052.67,16684.76,124898.69
"315","Nursing","DPH",24055.01,2018,0,"SEIU, Local 1021, RN",1879.21,0,26090.99
"316","Construction Inspection","DBI",47940.99,2018,72.64,"SEIU, Local 1021, Misc",28351.54,10848.98,76365.17
"317","Protection & Apprehension","DEM",85541.8,2018,9906.77,"SEIU, Local 1021, Misc",39646.82,17272.99,139465.84
"318","Protection & Apprehension","DEM",49678.8,2018,7333.81,"SEIU, Local 1021, Misc",23007.6,9793.54,81383.23
"319","Nursing","DPH",47307.65,2018,0,"SEIU, Local 1021, RN",9750.38,6806.55,60481.55
"320","Construction Inspection","DBI",38754.14,2018,0,"Building Inspects - 6331/33",10787.95,7601.87,50278.27
"321","Protection & Apprehension","DEM",17641.6,2018,0,"SEIU, Local 1021, Misc",8069.57,3532.65,26603.46
"322","Nursing","DPH",204105.01,2018,810.46,"SEIU, Local 1021, RN",69995.35,39770.06,283376.9
"323","Med Therapy & Auxiliary","DPH",66929.18,2018,97.24,"SEIU, Local 1021, Misc",33145.37,13178.01,101835.79
"324","Nursing","DPH",141243.43,2018,5633.65,"SEIU, Local 1021, RN",51092.57,24618.4,202686.32
"325","Protection & Apprehension","DEM",102372.8,2018,17882.9,"SEIU, Local 1021, Misc",46503.51,21754.29,177667.38
"326","Protection & Apprehension","DEM",0,2018,0,"SEIU, Local 1021, Misc",82.71,0,1163.91
"327","Protection & Apprehension","DEM",92160.09,2018,18187.5,"SEIU, Local 1021, Misc",39916.55,17866.26,151119.36
"328","Nursing","DPH",120364.92,2018,2871.38,"SEIU, Local 1021, RN",47503.76,23666.7,178526.03
"329","Nursing","DPH",26112.08,2018,4955.54,"SEIU, Local 1021, RN",6965.61,4674.32,40711.16
"330","Med Therapy & Auxiliary","DPH",91860.65,2018,0,"Prof & Tech Eng, Local 21",37979.69,17648.73,129840.34
"331","Nursing","DPH",6075,2018,0,"SEIU, Local 1021, RN",4042.48,1105.27,32711.93
"332","Protection & Apprehension","DEM",97176.46,2018,10471.25,"SEIU, Local 1021, Misc",41783.5,19316.21,152808.44
"333","Protection & Apprehension","DEM",22624,2018,848.4,"SEIU, Local 1021, Misc",9880,4470.37,33951.13
"334","Nursing","DPH",161874.3,2018,8134.1,"SEIU, Local 1021, RN",57173.93,30781.11,228744.51
"335","Med Therapy & Auxiliary","DPH",117622.01,2018,0,"SEIU, Local 1021, Misc",47374.48,22717.2,165620.49
"336","Nursing","DPH",143934.92,2018,10762.08,"SEIU, Local 1021, RN",55295.66,28121.34,222452.48
"337","Med Therapy & Auxiliary","DPH",4137,2018,0,"Prof & Tech Eng, Local 21",2036.93,754.18,11187.46
"338","Legal & Court","DPA",147846,2018,0,"Municipal Attorneys Assoc",47385.06,27674.08,200944.55
"339","Clerical, Secretarial & Steno","DPA",58851,2018,0,"SEIU, Local 1021, Misc",31976.17,13220.96,90827.17
"340","Journeyman Trade","DPH",7136,2018,0,"Stationary Engineers, Local 39",574.77,0,7980.15
"341","Information Systems","DPH",68251,2018,0,"Prof & Tech Eng, Local 21",32877.42,13112.3,101128.42
"342","Protection & Apprehension","DEM",96934.33,2018,9367.31,"SEIU, Local 1021, Misc",41719.66,19235.97,151220.01
"343","Protection & Apprehension","DEM",4645.24,2018,0,"SEIU, Local 1021, Misc",2642.08,879.23,17220.18
"344","Medical & Dental","DPH",105202,2018,0,"Physician/Dentists 8-CC, UAPD",36893.93,19704.94,142095.93
"345","Nursing","DPH",49642.93,2018,0,"SEIU, Local 1021, RN",3891.26,0,53534.19
"346","Nursing","DPH",139030.84,2018,10082.87,"SEIU, Local 1021, RN",52667.91,26026.41,220270.43
"347","Med Therapy & Auxiliary","DPH",59811,2018,0,"SEIU, Local 1021, Misc",31106.41,11762.37,92331.41
"348","Budget, Admn & Stats Analysis","DPH",72511.01,2018,0,"SEIU, Local 1021, Misc",34293.05,14050.59,107428.06
"349","Nursing","DPH",76562,2018,37766.21,"SEIU, Local 1021, Misc",40054.79,16143.68,162102.5
"350","Information Systems","DEM",97443,2018,0,"Prof & Tech Eng, Local 21",40945.93,18720.62,138388.93
"351","Protection & Apprehension","DEM",88372.67,2018,56567.87,"SEIU, Local 1021, Misc",42006.93,18558.32,195477.67
"352","Protection & Apprehension","DEM",113778.05,2018,42149.1,"SEIU, Local 1021, Misc",47577.85,22486.98,206775.96
"353","Med Therapy & Auxiliary","DPH",3910.01,2018,0,"Prof & Tech Eng, Local 21",1980.9,712.79,10903.53
"354","Medical & Dental","DPH",227137.93,2018,0,"Physician/Dentists 8-CC, UAPD",80228.2,48929.75,348951.81
"355","Nursing","DPH",61750.27,2018,3197.59,"SEIU, Local 1021, RN",25211.83,11397.12,97925.5
"356","Nursing","DPH",21861.63,2018,3644.2,"SEIU, Local 1021, RN",5922.29,4185.35,33807.54
"357","Nursing","DPH",151994.29,2018,0,"SEIU, Local 1021, RN",53035.17,28483.43,205304.46
"358","Nursing","DPH",9915.71,2018,0,"SEIU, Local 1021, RN",2277.47,1565.12,12365.72
"359","Protection & Apprehension","DEM",102769,2018,54677.53,"SEIU, Local 1021, Misc",46532.36,21014.14,210593.93
"360","Nursing","DPH",67319.44,2018,9248.4,"SEIU, Local 1021, RN",13143.4,9183.02,89901.04
"361","Nursing","DPH",8446.1,2018,0,"SEIU, Local 1021, RN",2097.02,1483.73,10865.78
"362","Nursing","DPH",49874,2018,515.03,"SEIU, Local 1021, RN",16929.24,8291.75,83687.08
"363","Nursing","DPH",4283.4,2018,0,"SEIU, Local 1021, RN",1138.75,804.7,5645.26
"364","Protection & Apprehension","DEM",102769.05,2018,65976.34,"SEIU, Local 1021, Misc",45999.83,20325.49,217766.76
"365","Protection & Apprehension","DEM",93303.31,2018,17276.45,"SEIU, Local 1021, Misc",43400.48,19532.56,162288.35
"366","Med Therapy & Auxiliary","DPH",5155.74,2018,0,"Prof & Tech Eng, Local 21",1396.95,990.62,6552.69
"367","Nursing","DPH",143105.85,2018,8814.59,"SEIU, Local 1021, RN",60053.53,30605.37,232048.16
"368","Nursing","DPH",7039.8,2018,0,"SEIU, Local 1021, RN",2084.47,1461.47,10297.57
"369","Protection & Apprehension","DEM",102718.43,2018,26044.93,"SEIU, Local 1021, Misc",44513.7,20057.58,175175.79
"370","Management","DEM",128971.02,2018,0,"Municipal Exec Assoc, Misc",56761.13,24158.73,185732.15
"371","Information Systems","DPH",68251,2018,0,"Prof & Tech Eng, Local 21",32929.29,13112.3,101180.29
"372","Nursing","DPH",105162.2,2018,8284.78,"SEIU, Local 1021, RN",10355.54,0,144510.64
"373","Nursing","DPH",82358.47,2018,5658.12,"SEIU, Local 1021, Misc",37741.47,16094.91,127374.29
"374","Nursing","DPH",122793.63,2018,3425.72,"SEIU, Local 1021, RN",47712.39,22998.77,197523.38
"375","Nursing","DPH",27639.26,2018,136.03,"SEIU, Local 1021, RN",5781.18,3937.95,34012.15
"376","Med Therapy & Auxiliary","DPH",64139.69,2018,0,"SEIU, Local 1021, Misc",31849.26,12681.98,98067
"377","Management","DEM",164766.01,2018,0,"Municipal Exec Assoc, Misc",61564.37,30865.55,226330.38
"378","Management","DEM",143879.06,2018,0,"Municipal Exec Assoc, Misc",45956.12,26953.54,189835.18
"379","Protection & Apprehension","DEM",86854.8,2018,14907.95,"SEIU, Local 1021, Misc",39550.64,16986.72,142460.79
"380","Management","DPH",135513.8,2018,0,"Municipal Exec Assoc, Misc",54490.02,25384.25,190003.82
"381","Construction Inspection","DBI",61557.72,2018,0,"SEIU, Local 1021, Misc",33265.75,13886.2,94823.47
"382","Med Therapy & Auxiliary","DPH",102570.8,2018,0,"Prof & Tech Eng, Local 21",42118.35,19705.34,144689.15
"383","Public Safety Inspection","DBI",109803.81,2018,0,"Prof & Tech Eng, Local 21",44089.65,21096.72,153893.46
"384","Professional Engineering","DBI",97924.4,2018,0,"Prof & Tech Eng, Local 21",40861.93,18814.34,138786.33
"385","Public Safety Inspection","DBI",122816.01,2018,0,"Plumbers, Local 38",51669.16,24386.05,181854.13
"386","Clerical, Secretarial & Steno","DPH",71412.9,2018,0,"SEIU, Local 1021, Misc",32394.57,13822.16,104559.43
"387","Lab, Pharmacy & Med Techs","DPH",143983.02,2018,554.06,"Teamsters, Local 856, Multi",50613.3,26970.73,195150.38
"388","Lab, Pharmacy & Med Techs","DPH",60505.01,2018,0,"SEIU, Local 1021, Misc",29386.23,11727.26,90693.24
"389","Public Health","DPH",81831.65,2018,0,"Prof & Tech Eng, Local 21",33955.06,15844.15,116526.71
"390","Nursing","DPH",159684.35,2018,16283.92,"SEIU, Local 1021, RN",64575.86,34876.81,267041.45
"391","Nursing","DPH",76562,2018,29898.76,"SEIU, Local 1021, Misc",38824.94,15711.61,150753.77
"392","Housekeeping & Laundry","DPH",61603,2018,0,"SEIU, Local 1021, Misc",30947.82,11835.09,92550.82
"393","Information Systems","DPH",118453,2018,0,"Prof & Tech Eng, Local 21",45904.94,22209.72,164357.94
"394","Lab, Pharmacy & Med Techs","DPH",73939,2018,3572.86,"SEIU, Local 1021, Misc",36229.71,15185.14,119095.78
"395","Nursing","DPH",76562,2018,15790.07,"SEIU, Local 1021, Misc",38034.91,15782.04,136222.16
"396","Dietary & Food","DPH",56019,2018,332.42,"SEIU, Local 1021, Misc",32020.05,13001.54,89995.08
"397","Information Systems","DPH",122061.55,2018,0,"Prof & Tech Eng, Local 21",47060.47,22864.34,169122.02
"398","Med Therapy & Auxiliary","DPH",103925.01,2018,0,"SEIU, Local 1021, Misc",41239.4,20075.55,145715.69
"399","Nursing","DPH",162500.01,2018,0,"SEIU, Local 1021, RN",59687.46,30439.31,222437.47
"400","Nursing","DPH",143997.49,2018,16463.39,"SEIU, Local 1021, RN",53128.19,26464.19,225263.88
"401","Nursing","DPH",5990.36,2018,0,"SEIU, Local 1021, RN",1708.98,1211.93,8217.72
"402","Nursing","DPH",2499.78,2018,0,"SEIU, Local 1021, Misc",724.16,518.2,3324.61
"403","Med Therapy & Auxiliary","DPH",73212.09,2018,0,"SEIU, Local 1021, Misc",34112.69,14362.27,108868.78
"404","Lab, Pharmacy & Med Techs","DPH",65044.4,2018,6330.91,"SEIU, Local 1021, Misc",31256.74,12647.36,103682.91
"405","Med Therapy & Auxiliary","DPH",87374,2018,0,"Prof & Tech Eng, Local 21",38216.52,16833.52,125836.15
"406","Nursing","DPH",17307.2,2018,977.64,"SEIU, Local 1021, Misc",9537.33,3464.27,45113.26
"407","Clerical, Secretarial & Steno","DPH",70302,2018,3045.2,"SEIU, Local 1021, Misc",33896.59,13835.57,109097.28
"408","Med Therapy & Auxiliary","DPH",66837.91,2018,0,"SEIU, Local 1021, Misc",31015.05,12838.75,97852.96
"409","Payroll, Billing & Accounting","DPH",77627.04,2018,1464.94,"SEIU, Local 1021, Misc",35775.1,15033.41,115491.08
"410","Med Therapy & Auxiliary","DPH",56420.22,2018,0,"SEIU, Local 1021, Misc",26389.19,10930.89,83290.31
"411","Clerical, Secretarial & Steno","DPH",58046.02,2018,42.86,"SEIU, Local 1021, Misc",31831.68,13176.76,90534.96
"412","Nursing","DPH",82380,2018,7043.83,"SEIU, Local 1021, Misc",39333.67,17177.83,136041.06
"413","Med Therapy & Auxiliary","DPH",66927.02,2018,0,"SEIU, Local 1021, Misc",33086.4,13254.33,102277.42
"414","Nursing","DPH",173548.04,2018,0,"SEIU, Local 1021, RN",58054.44,32510.09,231852.48
"415","Nursing","DPH",8340.85,2018,0,"SEIU, Local 1021, RN",2070,1560.21,10410.85
"416","Payroll, Billing & Accounting","DPH",75439.85,2018,0,"SEIU, Local 1021, Misc",34428.64,14609.02,110474.94
"417","Human Services","DPH",111627.26,2018,0,"SEIU, Local 1021, Misc",45182.85,21635.37,157810.11
"418","Nursing","DPH",34728.41,2018,444.6,"SEIU, Local 1021, Misc",16644.78,6710.34,59012.59
"419","Payroll, Billing & Accounting","DPH",82743.01,2018,0,"SEIU, Local 1021, Misc",37197.6,16016.48,120564.61
"420","Lab, Pharmacy & Med Techs","DPH",134480.45,2018,53.42,"SEIU, Local 1021, Misc",50817.26,25879.45,189274.74
"421","Dietary & Food","DPH",36042.34,2018,0,"SEIU, Local 1021, Misc",21625.74,8209.38,58069.73
"422","Nursing","DPH",180453,2018,0,"Teamsters, Local 856, Spv RN",63561.68,33802.42,244014.68
"423","Human Services","DPH",83938,2018,0,"SEIU, Local 1021, Misc",37668.11,16518.67,123650.11
"424","Nursing","DPH",74120.32,2018,9361.3,"SEIU, Local 1021, Misc",35120.32,14355.02,119456.07
"425","Nursing","DPH",115541.48,2018,21123.42,"SEIU, Local 1021, RN",2393.06,0,142212.02
"426","Nursing","DPH",59391.57,2018,0,"SEIU, Local 1021, RN",11907.47,8119.6,81299.24
"427","Personnel","DPH",96148.6,2018,0,"Prof & Tech Eng, Local 21",40589.16,18472.48,136737.76
"428","Management","DPH",0,2018,0,"Municipal Exec Assoc, Misc",1034.64,0,14559.35
"429","Nursing","DPH",110770.11,2018,8604.99,"SEIU, Local 1021, RN",43275,20850.8,166757.17
"430","Lab, Pharmacy & Med Techs","DPH",90119,2018,326.83,"SEIU, Local 1021, Misc",38642.77,17433.54,129712.6
"431","Public Health","DPH",115200,2018,0,"SEIU, Local 1021, Misc",45886.92,22251.79,161710.32
"432","Nursing","DPH",163107.5,2018,4164.05,"SEIU, Local 1021, RN",59611.72,30277.26,242965.01
"433","Human Services","DPH",69168.57,2018,0,"SEIU, Local 1021, Misc",30153.12,13369.64,99838.48
"434","Nursing","DPH",187096,2018,0,"Teamsters, Local 856, Spv RN",65167.35,34973.98,269101.99
"435","Personnel","DPH",110311.07,2018,0,"Prof & Tech Eng, Local 21",44448.06,21194.97,154759.13
"436","Public Health","DPH",148309.97,2018,0,"SEIU, Local 1021, RN",56911.06,28677.45,210274.71
"437","Lab, Pharmacy & Med Techs","DPH",90119.04,2018,0,"SEIU, Local 1021, Misc",39227.48,17433.54,129970.52
"438","Nursing","DPH",74783.32,2018,1971.07,"SEIU, Local 1021, Misc",36321.25,15731.4,120430.55
"439","Nursing","DPH",75963.93,2018,2603.56,"SEIU, Local 1021, Misc",35378.52,14712.8,114815.14
"440","Nursing","DPH",76525.15,2018,43360.98,"SEIU, Local 1021, Misc",40545.73,16184.05,168397.96
"441","Dietary & Food","DPH",58824,2018,49502.99,"SEIU, Local 1021, Misc",36577.88,13657.16,146630.04
"442","Administrative-Labor & Trades","DPH",134919.05,2018,0,"Stationary Engineers, Local 39",51138.18,25332.12,186373.23
"443","Nursing","DPH",152968,2018,0,"SEIU, Local 1021, RN",57836.24,28653.7,211054.24
"444","Information Systems","DPH",156085.11,2018,0,"Prof & Tech Eng, Local 21",41831.87,29237.71,197916.98
"445","Nursing","DPH",182633.56,2018,0,"SEIU, Local 1021, RN",61948.52,34210.25,244832.08
"446","Med Therapy & Auxiliary","DPH",73212.01,2018,0,"SEIU, Local 1021, Misc",34767.03,14388.22,109659.04
"447","Clerical, Secretarial & Steno","DPH",71472,2018,2459.78,"SEIU, Local 1021, Misc",35254.5,14576.36,113586.75
"448","Nursing","DPH",125875.4,2018,10543.04,"SEIU, Local 1021, RN",46032.89,20402.64,187833.47
"449","Nursing","DPH",142276.14,2018,455.55,"SEIU, Local 1021, RN",48908.89,22248.43,202099.24
"450","Nursing","DPH",160623.4,2018,0,"SEIU, Local 1021, RN",59749.26,30327.61,221897.66
